,dimension,mean_contribution,std_contribution,min_contribution,max_contribution,abs_mean_contribution
0,1,426.78070053863183,197.38276596379362,0.11838239014588225,837.9656640161443,426.78070053863183
1,2,421.2531467976725,191.86629493583246,0.13425297853729035,837.9656640161443,421.2531467976725
2,3,426.6877876049928,181.6469867296792,0.0001359838556709292,837.9656640161443,426.6877876049928
3,4,399.1523357239218,189.7303074917556,0.0001359838556709292,837.9656640161443,399.1523357239218
4,5,428.3272889353405,207.6939645197786,0.11838239014588225,837.9656640161443,428.3272889353405
5,6,424.13719294424584,198.48250140025306,0.0001359838556709292,836.8554384273932,424.13719294424584
6,7,411.28730515219286,190.06411556695946,0.11838239014588225,837.8474176098541,411.28730515219286
7,8,417.1512295860609,197.56004375958452,0.13425297853729035,837.4771706038433,417.1512295860609
8,9,414.23145179130825,193.7648769374321,0.11838239014588225,836.8554384273932,414.23145179130825
9,10,416.59844987975504,198.82548266566408,0.13425297853729035,837.9656640161443,416.59844987975504
10,11,414.6359302211421,194.0760362556393,0.11838239014588225,836.8055326350045,414.6359302211421
11,12,422.29976144796944,198.99699797982203,0.13425297853729035,837.8315470214627,422.29976144796944
12,13,413.00201517657524,193.64897358571943,0.13425297853729035,837.8315470214627,413.00201517657524
13,14,435.54364948047197,193.96433796434494,0.0001359838556709292,837.8315470214627,435.54364948047197
14,15,422.19106718178455,194.98450203577863,0.0001359838556709292,837.9656640161443,422.19106718178455
15,16,412.74725179691814,182.27847487411586,0.13425297853729035,837.4771706038433,412.74725179691814
16,17,423.52934433836435,194.82625504368787,0.13425297853729035,837.4771706038433,423.52934433836435
17,18,419.25644610000165,188.9589771689528,0.0001359838556709292,837.9656640161443,419.25644610000165
18,19,423.3272306065959,201.46172784006836,0.13425297853729035,837.9656640161443,423.3272306065959
19,20,413.66063904806714,199.13945668633426,0.11838239014588225,837.8315470214627,413.66063904806714
