,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
X_0,600.0,-16.755,290.34333767320834,-500.0,-274.25,-22.5,240.25,497.0,0.025128012670414732,-1.2417773032064903
X_1,600.0,-10.286666666666667,282.57754913358934,-499.0,-252.0,-20.0,219.5,498.0,0.08081043612889899,-1.1616996478889081
X_2,600.0,-15.636666666666667,285.9888237928998,-499.0,-262.5,-9.5,212.0,499.0,0.014297635370021038,-1.1472436557233867
X_3,600.0,6.221666666666667,288.0051634157726,-498.0,-239.25,-4.0,263.25,495.0,0.03580284766514253,-1.2171011325707846
X_4,600.0,1.75,287.841876284367,-500.0,-270.5,9.0,257.5,492.0,-0.07118909324198003,-1.2694249590938402
X_5,600.0,4.065,287.4113711542766,-500.0,-241.5,-3.0,256.0,500.0,-0.02510513807699397,-1.1626239124138789
X_6,600.0,-6.423333333333333,293.0144477094938,-499.0,-266.75,-32.5,259.5,500.0,0.08338967067168401,-1.2523855020622514
X_7,600.0,-8.455,302.8381242911911,-500.0,-268.0,-21.5,273.0,500.0,0.08507660495189054,-1.2756381613130714
X_8,600.0,20.098333333333333,290.2324760385509,-499.0,-224.25,24.0,274.5,500.0,-0.058282489771555236,-1.2261692431060778
X_9,600.0,-3.88,296.1946675219651,-500.0,-263.5,-7.5,255.0,499.0,0.018730151910287773,-1.2201033498237177
X_10,600.0,-8.615,296.6605342181605,-500.0,-265.0,-37.0,255.5,498.0,0.07294772101733091,-1.2555000200211488
X_11,600.0,-7.308333333333334,290.1962204115074,-500.0,-269.5,-4.0,236.25,497.0,0.020700556880870906,-1.205703387331014
X_12,600.0,2.533333333333333,286.63079197299646,-500.0,-234.5,14.5,239.5,499.0,-0.006741801946838234,-1.1470452866751393
X_13,600.0,-21.113333333333333,287.36561290689906,-496.0,-264.5,-31.0,223.5,500.0,0.10459530253836823,-1.1636568688162605
X_14,600.0,-6.501666666666667,288.0392351727227,-500.0,-263.0,-2.5,246.5,500.0,0.02885317801859651,-1.2319489684789307
X_15,600.0,-3.405,282.5066801845841,-499.0,-248.25,-17.0,238.5,500.0,0.010598877722709888,-1.1667347438072322
X_16,600.0,5.6433333333333335,288.4934144931193,-500.0,-237.75,3.5,255.5,500.0,-0.016144247642155583,-1.1674001907007645
X_17,600.0,3.575,292.05388228646746,-499.0,-246.25,22.0,256.25,500.0,-0.07033399007166086,-1.213029537317085
X_18,600.0,0.06,298.44462085876586,-498.0,-271.0,13.5,256.25,500.0,-0.04575865586727309,-1.2750774847912518
X_19,600.0,15.051666666666666,294.104394144291,-500.0,-229.25,22.5,264.75,500.0,-0.07965244758485425,-1.2054305773030178
target,600.0,8415.969353366589,898.9566727264552,5951.6439830453855,7794.594568149562,8405.927320660914,9044.443282907261,10906.671044051025,-0.0307673577997225,-0.17453095762597348
