dimension,mean_contribution,mean_abs_contribution,std_contribution
0,422.2201519658468,422.2201519658468,199.84117241482755
1,426.0201490743063,426.0201490743063,190.34983418326422
2,429.4384876798358,429.4384876798358,186.49138817971559
3,404.6611159763857,404.6611159763857,193.38680616808952
4,418.1334757811005,418.1334757811005,202.82328689850166
5,420.77570270320325,420.77570270320325,194.3153735750355
6,409.86531549255875,409.86531549255875,192.86940770769456
7,415.42034503887754,415.42034503887754,205.17479392202685
8,416.66211621598507,416.66211621598507,201.65457770269296
9,418.2646604304163,418.2646604304163,196.4813244993956
10,421.2459749446504,421.2459749446504,197.59806042338525
11,423.1530694995334,423.1530694995334,192.28019289020202
12,423.2108525517816,423.2108525517816,188.28510814218524
13,437.50195327569566,437.50195327569566,193.21465424041833
14,424.60126413679376,424.60126413679376,201.0830078192459
15,420.2507112107604,420.2507112107604,183.61291983330582
16,422.60905796788035,422.60905796788035,191.5349981695603
17,425.2242164355497,425.2242164355497,191.95676656424448
18,425.69027604265773,425.69027604265773,203.22516307177872
19,411.0204569427693,411.0204569427693,202.39547390453026
