feature,importance
feature_114,432
feature_231,385
feature_76,358
feature_34,345
feature_248,330
feature_155,308
feature_135,285
feature_159,282
feature_89,279
feature_3,276
feature_16,269
feature_130,266
feature_44,266
feature_203,254
feature_182,250
feature_187,243
feature_157,242
feature_178,239
feature_126,237
feature_110,233
feature_49,227
feature_241,226
feature_269,226
feature_262,225
feature_244,223
feature_6,221
feature_264,213
feature_174,213
feature_73,213
feature_42,208
feature_21,207
feature_40,203
feature_101,199
feature_172,192
feature_228,187
feature_95,185
feature_82,183
feature_60,182
feature_143,177
feature_253,175
feature_98,175
feature_277,173
feature_219,170
feature_15,169
feature_54,164
feature_71,163
feature_115,163
feature_273,161
feature_108,157
feature_239,156
feature_33,152
feature_23,150
feature_245,148
feature_196,146
feature_74,144
feature_227,143
feature_175,142
feature_163,140
feature_220,138
feature_242,137
feature_9,133
feature_205,133
feature_64,131
feature_125,131
feature_92,128
feature_278,128
feature_207,128
feature_109,126
feature_116,124
feature_150,122
feature_214,119
feature_234,119
feature_279,117
feature_104,116
feature_198,113
feature_246,113
feature_164,111
feature_140,111
feature_1,107
feature_123,106
feature_250,103
feature_35,101
feature_223,100
feature_230,100
feature_190,99
feature_120,99
feature_145,97
feature_62,94
feature_52,94
feature_19,93
feature_112,93
feature_247,90
feature_249,88
feature_66,88
feature_68,88
feature_237,87
feature_208,85
feature_181,85
feature_185,85
feature_169,84
feature_199,83
feature_91,80
feature_233,80
feature_48,78
feature_266,76
feature_201,75
feature_222,75
feature_2,74
feature_235,73
feature_30,73
feature_58,72
feature_72,68
feature_41,68
feature_46,68
feature_118,67
feature_13,66
feature_229,65
feature_18,65
feature_236,64
feature_20,63
feature_225,62
feature_59,62
feature_105,61
feature_24,61
feature_90,60
feature_43,60
feature_261,60
feature_25,58
feature_65,58
feature_36,58
feature_5,57
feature_32,57
feature_138,56
feature_94,55
feature_204,54
feature_137,53
feature_270,52
feature_111,52
feature_141,50
feature_37,49
feature_189,49
feature_107,49
feature_179,48
feature_79,47
feature_133,46
feature_131,44
feature_267,43
feature_170,42
feature_7,42
feature_0,42
feature_124,42
feature_147,42
feature_271,41
feature_45,37
feature_117,36
feature_217,35
feature_27,35
feature_144,34
feature_113,34
feature_240,33
feature_192,33
feature_274,33
feature_29,33
feature_139,32
feature_11,31
feature_38,31
feature_162,30
feature_28,30
feature_50,30
feature_122,30
feature_39,30
feature_158,29
feature_63,28
feature_166,28
feature_191,27
feature_128,27
feature_209,27
feature_221,27
feature_85,26
feature_134,26
feature_4,25
feature_96,25
feature_142,24
feature_258,24
feature_153,24
feature_61,24
feature_80,23
feature_47,22
feature_75,22
feature_260,21
feature_200,21
feature_152,20
feature_173,20
feature_256,20
feature_10,20
feature_31,19
feature_257,18
feature_160,18
feature_106,18
feature_136,17
feature_276,17
feature_86,16
feature_168,16
feature_268,15
feature_188,15
feature_224,13
feature_167,13
feature_149,12
feature_254,12
feature_255,12
feature_194,12
feature_184,12
feature_84,12
feature_213,11
feature_275,11
feature_186,11
feature_210,10
feature_272,10
feature_156,10
feature_87,9
feature_211,9
feature_252,8
feature_78,8
feature_180,8
feature_265,7
feature_100,7
feature_183,7
feature_243,7
feature_56,7
feature_148,7
feature_70,6
feature_193,6
feature_132,6
feature_127,6
feature_226,6
feature_263,6
feature_8,6
feature_218,6
feature_146,6
feature_81,6
feature_102,6
feature_119,5
feature_121,5
feature_206,5
feature_67,5
feature_77,5
feature_14,5
feature_93,5
feature_103,5
feature_12,5
feature_55,5
feature_216,5
feature_177,4
feature_154,4
feature_83,4
feature_171,4
feature_215,4
feature_57,4
feature_88,4
feature_202,4
feature_151,4
feature_238,4
feature_53,3
feature_259,3
feature_197,3
feature_97,3
feature_176,3
feature_69,3
feature_165,3
feature_212,2
feature_26,2
feature_161,2
feature_195,2
feature_22,2
feature_99,2
feature_129,1
feature_51,1
feature_17,1
feature_251,1
feature_232,0
