train,validation,test
6.098019721192294434e-02,1.893340050670960228e-01,3.987946964768669944e-01
3.588402625954985603e-01,2.648240571937909849e-01,4.388859127779729530e-01
4.151722334654133206e-01,3.540363007748897339e-01,4.615528834589692764e-01
4.221297799476704249e-01,3.227202422439889307e-01,4.900854586803207735e-01
4.374818872080372678e-01,3.195371873013946318e-01,4.793085620909925959e-01
4.453356477763385501e-01,3.092032176811864708e-01,4.914853508753709299e-01
4.817272510466704127e-01,3.637734764562797762e-01,5.068468501086587086e-01
5.077052324527305815e-01,4.172616689807168155e-01,5.186649785648974609e-01
4.967676836877605862e-01,3.677823840893500451e-01,5.392232656748636721e-01
5.326122691630638117e-01,3.723747100187790315e-01,5.539205728467866408e-01
5.451050318463743771e-01,4.209990540318688801e-01,5.461586981859025691e-01
5.396633791653328016e-01,3.843630779099416750e-01,4.899669263272737885e-01
5.464212047728449484e-01,4.133878229236164770e-01,5.101577557925188744e-01
5.593402169539203328e-01,3.803230148801433619e-01,5.379244566882083189e-01
5.489616168617929004e-01,4.016215904994026031e-01,5.496452578643069575e-01
5.712168712717935470e-01,4.299423656256937121e-01,5.231294282176677246e-01
5.286189424873651843e-01,4.125338514012765190e-01,5.386929285975704529e-01
5.828525665278000423e-01,4.673280699700589347e-01,5.514021286136058242e-01
5.845908552303750172e-01,4.860865332338327183e-01,5.352999426527740301e-01
6.049899321610413550e-01,4.820701382300889848e-01,5.665621490591566944e-01
5.753733419916546854e-01,4.918459318112859413e-01,5.828684221621388550e-01
6.040340624417559479e-01,4.600671543193662894e-01,5.751125360347039139e-01
6.316344599321125353e-01,4.868716927389973859e-01,5.977414410638173248e-01
6.321726774963021267e-01,5.149996218801043968e-01,5.769281423214578375e-01
6.247970453839788441e-01,5.100217822706397675e-01,5.990148732336865178e-01
6.354827083626976014e-01,4.816333690208821627e-01,6.044833072364361737e-01
6.099798639820050994e-01,5.421642755702437144e-01,5.949634526215055175e-01
6.340158858775820638e-01,5.025254579509078612e-01,6.172667325640490699e-01
6.466788239914493808e-01,5.549258488969567304e-01,6.251520225142611631e-01
6.552149892452802105e-01,5.588486416162669057e-01,6.101059649936020346e-01
6.507253821399807681e-01,5.368871467799959385e-01,6.078466797122347165e-01
6.475873546007293591e-01,5.682710464648003112e-01,6.157850658866795834e-01
6.407945663458436414e-01,5.351454413110388053e-01,6.391671658193848193e-01
6.452351285094672928e-01,5.398322784640765537e-01,5.922558006523536145e-01
6.392428547253564686e-01,5.703631369823892738e-01,6.330574403921389592e-01
6.730853480283315315e-01,5.720494969639791094e-01,6.386978567597972889e-01
6.544651605872402467e-01,5.690286734228759968e-01,6.372266459961077878e-01
6.913411416240857754e-01,5.866171748734444469e-01,6.227712281196484678e-01
6.905486848974832226e-01,5.761476149838564709e-01,6.416434225086503629e-01
6.984568681162910408e-01,6.135591446431504226e-01,6.312355319972545731e-01
6.537711038833432520e-01,6.177435077747964742e-01,6.341933735005513828e-01
7.024931112715224746e-01,5.842193317655848261e-01,6.235202395835021116e-01
6.851638131188487746e-01,6.219882462638327558e-01,6.563154451494996877e-01
6.999062067316238478e-01,6.167507643038476761e-01,6.613718760163365129e-01
7.216127391546932612e-01,6.482284596107710239e-01,6.513854281906023003e-01
7.336287623237917055e-01,6.521385755376939430e-01,6.778073000011585192e-01
7.246939512077540391e-01,6.137781906560395573e-01,6.635277210385102098e-01
7.210586824281033369e-01,6.414918445014411441e-01,6.464457611037162099e-01
