dimension,contribution
0.000000000000000000e+00,4.300166320800781250e+02
1.000000000000000000e+00,4.509038696289062500e+02
2.000000000000000000e+00,4.183416748046875000e+02
3.000000000000000000e+00,4.089883117675781250e+02
4.000000000000000000e+00,4.279860229492187500e+02
5.000000000000000000e+00,4.214917907714843750e+02
6.000000000000000000e+00,4.202325134277343750e+02
7.000000000000000000e+00,4.074410400390625000e+02
8.000000000000000000e+00,4.095793762207031250e+02
9.000000000000000000e+00,4.168420715332031250e+02
1.000000000000000000e+01,4.104465942382812500e+02
1.100000000000000000e+01,4.078553161621093750e+02
1.200000000000000000e+01,4.090841369628906250e+02
1.300000000000000000e+01,4.471541748046875000e+02
1.400000000000000000e+01,4.340059814453125000e+02
1.500000000000000000e+01,4.145284423828125000e+02
1.600000000000000000e+01,4.341317443847656250e+02
1.700000000000000000e+01,4.223346862792968750e+02
1.800000000000000000e+01,4.250517272949218750e+02
1.900000000000000000e+01,4.188760070800781250e+02
