Best Validation Pearson: 0.9121

Epoch,TrainLoss,ValLoss,TrainPearson,ValPearson
1,18.167231,78.276615,0.102381,0.462259
2,4.716820,16.766563,0.030743,0.368278
3,3.586201,2.260312,0.123831,0.314162
4,2.206126,1.390820,0.180978,0.386989
5,1.952484,0.896020,0.193183,0.464742
6,1.860073,0.778850,0.202954,0.525685
7,1.714349,1.117899,0.289133,0.583544
8,1.751311,1.094489,0.142044,0.334936
9,1.683977,1.166852,0.292133,0.566757
10,1.838622,1.878237,0.326788,-0.026916
11,1.704018,0.592801,0.145159,0.617985
12,1.681415,0.713128,0.264339,0.652499
13,1.499340,0.836668,0.368423,0.490588
14,1.726278,0.686299,0.082228,0.649936
15,1.486399,0.601193,0.264700,0.698350
16,1.491842,0.598014,0.228091,0.684718
17,1.408038,0.965800,0.363652,0.494651
18,1.358215,0.787940,0.375396,0.561563
19,1.262064,0.650059,0.341544,0.687389
20,1.235282,0.743895,0.396948,0.551910
21,1.212560,0.477347,0.294383,0.742623
22,1.169176,0.559426,0.453108,0.672027
23,1.158043,0.732085,0.409267,0.590543
24,1.209992,0.545219,0.283096,0.765548
25,1.109690,0.601600,0.417984,0.725165
26,1.143939,0.674436,0.381929,0.589466
27,1.200386,0.498679,0.323260,0.767491
28,0.990116,0.490752,0.435370,0.774867
29,1.072091,0.958140,0.421435,0.653914
30,1.139162,0.491591,0.360458,0.760675
31,1.078058,0.435645,0.456211,0.735784
32,1.024294,0.743448,0.491894,0.725430
33,0.938717,0.425362,0.443793,0.772463
34,0.937954,0.450953,0.483750,0.761005
35,0.901901,0.495426,0.498777,0.726711
36,0.886129,0.435024,0.456106,0.797494
37,0.828368,0.561611,0.519779,0.727176
38,0.848653,0.383906,0.508024,0.793437
39,0.938074,0.503362,0.473681,0.797082
40,0.985464,0.611384,0.387137,0.655043
41,0.916031,0.556146,0.455868,0.755049
42,0.861748,0.945096,0.490034,0.768073
43,0.910173,0.460447,0.455374,0.759118
44,0.853873,0.438299,0.511107,0.767763
45,0.792391,0.580098,0.514479,0.719064
46,0.764996,0.459287,0.543260,0.777390
47,0.850071,0.516338,0.487888,0.742463
48,0.755046,0.440277,0.534181,0.782593
49,0.773848,0.425415,0.540816,0.767128
50,0.822438,0.526912,0.534542,0.789421
51,0.841481,0.509730,0.485111,0.780895
52,0.743033,0.430994,0.532730,0.764472
53,0.828684,0.587256,0.516622,0.750294
54,0.838163,0.624770,0.449543,0.674964
55,0.832026,0.475628,0.513672,0.757893
56,0.798188,0.488342,0.551511,0.772252
57,0.770722,0.450661,0.499276,0.792322
58,0.694658,0.416923,0.569992,0.786768
59,0.745840,0.501662,0.562044,0.749382
60,0.780519,0.433284,0.491614,0.809298
61,0.719870,0.438125,0.552342,0.781650
62,0.712754,0.399522,0.571622,0.801673
63,0.627129,0.408236,0.612501,0.813369
64,0.623033,0.420113,0.618307,0.798009
65,0.671540,0.376779,0.584434,0.803142
66,0.680763,0.435656,0.602824,0.790616
67,0.705281,0.425468,0.569248,0.808457
68,0.658322,0.412596,0.586306,0.802343
69,0.676308,0.394010,0.596250,0.782855
70,0.684048,0.368922,0.587175,0.816805
71,0.667199,0.492740,0.594502,0.797833
72,0.653557,0.396776,0.589936,0.805666
73,0.668593,0.468448,0.613622,0.796844
74,0.689160,0.391124,0.582418,0.817792
75,0.638971,0.393418,0.612999,0.799120
76,0.684995,0.398461,0.609405,0.791278
77,0.669881,0.396742,0.590011,0.815828
78,0.696218,0.406200,0.557336,0.789139
79,0.708062,0.382452,0.570024,0.800711
80,0.669533,0.412741,0.598535,0.818108
81,0.702975,0.432707,0.584055,0.797373
82,0.662181,0.389476,0.597078,0.805767
83,0.644220,0.363217,0.608829,0.813856
84,0.645999,0.468849,0.599552,0.781058
85,0.685474,0.481882,0.567676,0.778885
86,0.658817,0.421778,0.597010,0.792746
87,0.646967,0.352155,0.613570,0.819052
88,0.676577,0.366247,0.581882,0.820165
89,0.666329,0.383741,0.586375,0.809660
90,0.648892,0.380295,0.602563,0.820067
91,0.675794,0.401325,0.602428,0.819743
92,0.634789,0.386681,0.613692,0.803424
93,0.683285,0.450342,0.568524,0.796023
94,0.592478,0.392813,0.637312,0.826221
95,0.635097,0.458557,0.604308,0.819275
96,0.571453,0.399154,0.662151,0.800332
97,0.637241,0.346001,0.617656,0.830703
98,0.605735,0.386065,0.629588,0.817591
99,0.584438,0.466425,0.644424,0.815420
100,0.648712,0.352742,0.601955,0.812217
101,0.619680,0.398754,0.627312,0.807963
102,0.583859,0.355982,0.642699,0.845147
103,0.617595,0.397720,0.623985,0.839165
104,0.582228,0.395943,0.647685,0.810130
105,0.601153,0.387963,0.647564,0.824755
106,0.586745,0.364032,0.654342,0.837957
107,0.644988,0.437393,0.618582,0.823061
108,0.625169,0.334125,0.613721,0.821154
109,0.615177,0.342643,0.636054,0.823401
110,0.567379,0.388771,0.659445,0.837426
111,0.636904,0.340659,0.602543,0.834259
112,0.633978,0.363044,0.617767,0.839983
113,0.596105,0.356663,0.639674,0.834998
114,0.629425,0.368502,0.622392,0.838278
115,0.652153,0.350384,0.605259,0.843719
116,0.554249,0.357399,0.666922,0.827791
117,0.552118,0.349579,0.673217,0.833042
118,0.584224,0.339985,0.650883,0.840445
119,0.606828,0.363450,0.636302,0.836360
120,0.566350,0.345991,0.656495,0.821363
121,0.600553,0.310426,0.636879,0.837132
122,0.561628,0.392981,0.665149,0.813024
123,0.586680,0.346093,0.647665,0.847197
124,0.555076,0.398327,0.667106,0.831138
125,0.560811,0.376281,0.662523,0.784901
126,0.635380,0.362854,0.619100,0.815010
127,0.604921,0.329358,0.657316,0.846014
128,0.646019,0.381577,0.618684,0.830077
129,0.558806,0.344495,0.684226,0.847730
130,0.621231,0.325806,0.651104,0.838473
131,0.547817,0.325341,0.674800,0.845407
132,0.600587,0.325025,0.634117,0.847109
133,0.546506,0.348570,0.673652,0.842282
134,0.545482,0.312178,0.673812,0.845316
135,0.566468,0.307209,0.663288,0.846750
136,0.596578,0.376050,0.641275,0.855390
137,0.540228,0.311881,0.683713,0.851935
138,0.538779,0.308956,0.678020,0.840090
139,0.544664,0.308568,0.684166,0.846171
140,0.524870,0.334316,0.688536,0.830988
141,0.569791,0.318919,0.654837,0.854719
142,0.620620,0.308254,0.640416,0.848393
143,0.582199,0.314414,0.661054,0.845280
144,0.560057,0.321013,0.665325,0.851240
145,0.521213,0.305696,0.690038,0.861888
146,0.593929,0.338607,0.647907,0.855326
147,0.586625,0.325533,0.645260,0.855057
148,0.576903,0.298493,0.649632,0.861362
149,0.572536,0.291843,0.653610,0.862863
150,0.600338,0.334419,0.631720,0.841349
151,0.584835,0.309837,0.643645,0.850802
152,0.525827,0.333759,0.686188,0.846533
153,0.523248,0.326762,0.689180,0.860081
154,0.562869,0.306830,0.663850,0.848136
155,0.561381,0.312336,0.661431,0.835862
156,0.541003,0.304193,0.682894,0.847694
157,0.551520,0.300729,0.668853,0.869720
158,0.580649,0.285562,0.647782,0.865565
159,0.536771,0.324306,0.679931,0.839522
160,0.560814,0.288831,0.665731,0.859157
161,0.528575,0.320425,0.684971,0.862946
