Best Validation Pearson: 0.8088 at Epoch 128

Epoch,TrainLoss,ValLoss,TrainPearson,ValPearson
1,0.918675,0.880779,0.194868,0.303230
2,0.884631,0.843877,0.261621,0.328758
3,0.846467,0.817582,0.330450,0.376764
4,0.827831,0.816357,0.356213,0.384716
5,0.824887,0.796982,0.358125,0.432084
6,0.810092,0.784640,0.388439,0.478234
7,0.799652,0.784218,0.395960,0.491038
8,0.798923,0.761001,0.417311,0.527241
9,0.807576,0.759131,0.387328,0.530221
10,0.802923,0.759759,0.394022,0.515936
11,0.774313,0.766928,0.430372,0.509241
12,0.774359,0.768142,0.433332,0.486263
13,0.749927,0.738174,0.472702,0.554891
14,0.770438,0.730079,0.443985,0.565565
15,0.749476,0.710616,0.483100,0.600043
16,0.747527,0.713523,0.478807,0.595592
17,0.739144,0.714595,0.502160,0.609973
18,0.709055,0.710752,0.546149,0.601470
19,0.722299,0.697887,0.485088,0.629010
20,0.727516,0.679644,0.465116,0.639432
21,0.696389,0.702106,0.536404,0.596688
22,0.703646,0.674760,0.504023,0.664974
23,0.685918,0.687012,0.577717,0.612680
24,0.690115,0.648484,0.541400,0.679366
25,0.660470,0.637085,0.588141,0.695266
26,0.658176,0.668025,0.596357,0.632321
27,0.683941,0.612659,0.549990,0.703489
28,0.635269,0.614657,0.617367,0.701880
29,0.645375,0.632908,0.579581,0.657766
30,0.638729,0.618375,0.591182,0.672268
31,0.638973,0.662446,0.574757,0.611241
32,0.631247,0.589320,0.578766,0.710592
33,0.637161,0.596648,0.564193,0.662746
34,0.623099,0.595837,0.569597,0.668879
35,0.590142,0.535754,0.627244,0.727309
36,0.590521,0.525011,0.608004,0.747861
37,0.595636,0.529906,0.593547,0.734311
38,0.568964,0.510979,0.633081,0.746857
39,0.586236,0.540839,0.571091,0.709955
40,0.533452,0.511100,0.653559,0.705246
41,0.548061,0.438575,0.639067,0.790452
42,0.565209,0.639252,0.581442,0.667438
43,0.662118,0.561587,0.472480,0.711936
44,0.550683,0.529694,0.607522,0.719693
45,0.522147,0.470084,0.638168,0.724790
46,0.531557,0.421884,0.629718,0.785714
47,0.520158,0.477118,0.638324,0.741655
48,0.556484,0.453827,0.602334,0.738775
49,0.499796,0.438970,0.660978,0.742263
50,0.464546,0.403782,0.694550,0.776469
51,0.495979,0.428079,0.658093,0.754880
52,0.534939,0.476029,0.614516,0.745293
53,0.554011,0.409944,0.598247,0.764985
54,0.522203,0.397983,0.635792,0.775258
55,0.465795,0.400821,0.687559,0.764499
56,0.480106,0.371022,0.667445,0.786963
57,0.492467,0.450457,0.654608,0.754089
58,0.496382,0.397888,0.652612,0.752777
59,0.497275,0.378452,0.652843,0.771330
60,0.466172,0.365147,0.683514,0.787877
61,0.482078,0.347534,0.671807,0.800675
62,0.473171,0.412978,0.672575,0.767899
63,0.510406,0.457073,0.642804,0.736914
64,0.474697,0.407466,0.672872,0.748909
65,0.467336,0.362308,0.681278,0.798940
66,0.502834,0.390287,0.649281,0.764134
67,0.480970,0.346373,0.663960,0.795332
68,0.437910,0.356846,0.709008,0.786390
69,0.461855,0.387599,0.687097,0.779895
70,0.441458,0.348149,0.702002,0.794971
71,0.461888,0.372062,0.687280,0.768154
72,0.454252,0.377476,0.692582,0.795214
73,0.478492,0.377619,0.669020,0.789812
74,0.447661,0.371396,0.693577,0.772940
75,0.427011,0.355553,0.714945,0.786804
76,0.467851,0.367785,0.680457,0.780979
77,0.462539,0.347609,0.686385,0.785326
78,0.484249,0.351496,0.664856,0.793092
79,0.485659,0.460313,0.660282,0.700522
80,0.450139,0.357732,0.693729,0.780870
81,0.479934,0.342931,0.669697,0.796659
82,0.452729,0.396873,0.693898,0.756953
83,0.444108,0.331049,0.698593,0.803392
84,0.456338,0.386761,0.687067,0.787078
85,0.447179,0.384673,0.694863,0.767491
86,0.457415,0.341335,0.688134,0.793260
87,0.436808,0.410238,0.706177,0.740284
88,0.408463,0.332383,0.729287,0.808120
89,0.459813,0.368533,0.685961,0.796310
90,0.444894,0.347712,0.698597,0.784968
91,0.441976,0.323133,0.700754,0.806693
92,0.462292,0.393381,0.681575,0.778693
93,0.480995,0.399313,0.668823,0.745893
94,0.459389,0.344242,0.688101,0.790222
95,0.477699,0.337301,0.675459,0.798924
96,0.432988,0.343849,0.708709,0.795302
97,0.435529,0.350685,0.708780,0.784666
98,0.418161,0.342432,0.720797,0.792130
99,0.460136,0.363697,0.685145,0.772104
100,0.421569,0.349183,0.719151,0.779822
101,0.418342,0.343053,0.721695,0.782927
102,0.422261,0.427894,0.713161,0.745941
103,0.467986,0.379244,0.681221,0.767106
104,0.454576,0.350464,0.692117,0.781510
105,0.425987,0.397997,0.712495,0.758658
106,0.479569,0.402301,0.672143,0.782060
107,0.422213,0.387280,0.712157,0.759882
108,0.409900,0.359066,0.726835,0.783724
109,0.377162,0.333060,0.753075,0.805207
110,0.439733,0.320549,0.699272,0.800044
111,0.422079,0.334264,0.715409,0.800500
112,0.455972,0.343226,0.688310,0.798399
113,0.473019,0.398364,0.675094,0.736189
114,0.425488,0.346114,0.714676,0.790572
115,0.440332,0.385910,0.700797,0.753209
116,0.445999,0.380945,0.696874,0.755252
117,0.427307,0.344610,0.714620,0.787801
118,0.413555,0.348458,0.724669,0.786287
119,0.456734,0.345500,0.685830,0.784552
120,0.418531,0.359629,0.718727,0.772025
121,0.413133,0.369081,0.720205,0.787937
122,0.409387,0.356951,0.727380,0.787545
123,0.437584,0.350451,0.708168,0.784571
124,0.426828,0.332671,0.713968,0.794512
125,0.417608,0.475853,0.717489,0.717905
126,0.402678,0.353813,0.734200,0.786590
127,0.407002,0.354902,0.729712,0.778986
128,0.414931,0.322618,0.722542,0.808847
129,0.428391,0.365040,0.712627,0.774204
130,0.443024,0.379516,0.702355,0.770770
131,0.420479,0.359975,0.719002,0.769862
132,0.449676,0.381084,0.696128,0.769091
133,0.399093,0.344042,0.735924,0.785015
134,0.385008,0.377076,0.745801,0.765874
135,0.432659,0.445491,0.708309,0.737575
136,0.423751,0.376423,0.714920,0.757366
137,0.407972,0.336668,0.725021,0.792412
138,0.397365,0.320194,0.738028,0.807104
139,0.406383,0.368662,0.727706,0.778415
140,0.378381,0.357076,0.750487,0.768978
141,0.398941,0.384722,0.736203,0.754542
142,0.405165,0.338403,0.731991,0.788063
143,0.462934,0.371529,0.682587,0.762363
144,0.411392,0.342232,0.724861,0.785924
145,0.393108,0.329970,0.738686,0.796159
146,0.421597,0.359213,0.712877,0.793764
147,0.413092,0.367024,0.724676,0.764336
148,0.403022,0.360829,0.733748,0.788992
149,0.419028,0.411085,0.718700,0.775282
150,0.386732,0.344898,0.741572,0.781030
151,0.440137,0.400690,0.698296,0.769540
152,0.428264,0.386188,0.710349,0.777099
153,0.361414,0.381750,0.764735,0.757208
154,0.411087,0.386459,0.723817,0.783480
155,0.405496,0.409219,0.728692,0.759649
156,0.412495,0.357642,0.725125,0.783098
157,0.394910,0.401037,0.736383,0.771024
158,0.447908,0.369328,0.694943,0.772301
159,0.432079,0.333300,0.708892,0.804881
160,0.373262,0.451058,0.756895,0.713596
161,0.362438,0.376626,0.764472,0.769283
162,0.403182,0.421353,0.730085,0.731700
163,0.382142,0.325922,0.745682,0.796963
164,0.375908,0.340696,0.753163,0.781651
165,0.408965,0.378536,0.727563,0.753802
166,0.391382,0.320155,0.740796,0.803482
167,0.413585,0.421289,0.724651,0.745766
168,0.398679,0.328279,0.735418,0.796902
169,0.385752,0.348560,0.745198,0.783219
170,0.377358,0.334187,0.751271,0.793210
171,0.361721,0.354762,0.763998,0.777233
172,0.394269,0.341778,0.736564,0.792742
173,0.370239,0.358252,0.753111,0.768233
174,0.404114,0.354906,0.728491,0.766316
175,0.418997,0.404599,0.712440,0.786275
176,0.450883,0.371061,0.694790,0.783955
177,0.404397,0.360223,0.729759,0.785149
178,0.383052,0.462742,0.743159,0.724210
179,0.412770,0.341025,0.727052,0.787274
180,0.371462,0.389359,0.756746,0.753820
181,0.379829,0.326160,0.749240,0.802475
182,0.362898,0.360670,0.759971,0.770121
183,0.382457,0.329361,0.748514,0.799103
184,0.380979,0.393638,0.748045,0.755497
185,0.362557,0.358549,0.763661,0.771953
186,0.395515,0.344090,0.736696,0.795203
187,0.419572,0.386451,0.719437,0.762900
