feature,importance
feature_239,162
feature_47,127
feature_238,13
feature_1098,7
feature_39,7
feature_224,7
feature_1165,6
feature_336,6
feature_788,6
feature_534,5
feature_1118,5
feature_201,5
feature_802,5
feature_609,5
feature_231,5
feature_1253,4
feature_941,4
feature_1250,4
feature_1276,4
feature_230,4
feature_867,4
feature_1413,4
feature_540,4
feature_612,4
feature_566,4
feature_593,4
feature_588,4
feature_561,3
feature_1332,3
feature_601,3
feature_1073,3
feature_411,3
feature_417,3
feature_1271,3
feature_1290,3
feature_1306,3
feature_1326,3
feature_648,3
feature_1360,3
feature_372,3
feature_570,3
feature_1302,3
feature_14,3
feature_237,3
feature_837,3
feature_1153,3
feature_9,3
feature_342,3
feature_214,3
feature_1161,3
feature_1140,3
feature_217,3
feature_195,3
feature_798,3
feature_786,3
feature_688,3
feature_589,2
feature_1191,2
feature_226,2
feature_219,2
feature_213,2
feature_1176,2
feature_1309,2
feature_1156,2
feature_306,2
feature_373,2
feature_204,2
feature_964,2
feature_229,2
feature_391,2
feature_1293,2
feature_1289,2
feature_499,2
feature_1007,2
feature_343,2
feature_1015,2
feature_1273,2
feature_434,2
feature_351,2
feature_1184,2
feature_355,2
feature_518,2
feature_945,2
feature_897,2
feature_739,2
feature_1365,2
feature_692,2
feature_1367,2
feature_33,2
feature_690,2
feature_825,2
feature_861,2
feature_822,2
feature_639,2
feature_878,2
feature_685,2
feature_630,2
feature_1353,2
feature_801,2
feature_1352,2
feature_619,2
feature_894,2
feature_765,2
feature_780,2
feature_673,2
feature_754,2
feature_748,2
feature_746,2
feature_892,2
feature_1344,2
feature_666,2
feature_367,1
feature_396,1
feature_840,1
feature_369,1
feature_839,1
feature_1061,1
feature_669,1
feature_1101,1
feature_1092,1
feature_370,1
feature_400,1
feature_680,1
feature_382,1
feature_1082,1
feature_1081,1
feature_348,1
feature_1079,1
feature_679,1
feature_392,1
feature_398,1
feature_846,1
feature_847,1
feature_350,1
feature_1132,1
feature_344,1
feature_834,1
feature_759,1
feature_1208,1
feature_1203,1
feature_1202,1
feature_743,1
feature_741,1
feature_1190,1
feature_740,1
feature_735,1
feature_733,1
feature_728,1
feature_289,1
feature_811,1
feature_718,1
feature_715,1
feature_816,1
feature_299,1
feature_1150,1
feature_1147,1
feature_819,1
feature_821,1
feature_1137,1
feature_318,1
feature_855,1
feature_823,1
feature_1120,1
feature_832,1
feature_1059,1
feature_438,1
feature_423,1
feature_556,1
feature_929,1
feature_628,1
feature_568,1
feature_934,1
feature_936,1
feature_937,1
feature_944,1
feature_522,1
feature_1210,1
feature_952,1
feature_877,1
feature_958,1
feature_641,1
feature_874,1
feature_928,1
feature_924,1
feature_578,1
feature_922,1
feature_582,1
feature_888,1
feature_919,1
feature_584,1
feature_890,1
feature_590,1
feature_913,1
feature_598,1
feature_909,1
feature_896,1
feature_907,1
feature_905,1
feature_904,1
feature_873,1
feature_521,1
feature_1050,1
feature_664,1
feature_859,1
feature_660,1
feature_858,1
feature_1017,1
feature_662,1
feature_1018,1
feature_460,1
feature_972,1
feature_1024,1
feature_1027,1
feature_446,1
feature_436,1
feature_1042,1
feature_1046,1
feature_1002,1
feature_1000,1
feature_482,1
feature_996,1
feature_485,1
feature_489,1
feature_492,1
feature_500,1
feature_504,1
feature_505,1
feature_862,1
feature_507,1
feature_510,1
feature_978,1
feature_976,1
feature_517,1
feature_649,1
feature_1415,1
feature_1080,1
feature_771,1
feature_1406,1
feature_1398,1
feature_1314,1
feature_209,1
feature_208,1
feature_1390,1
feature_1322,1
feature_1325,1
feature_203,1
feature_1327,1
feature_1226,1
feature_36,1
feature_1382,1
feature_1381,1
feature_1331,1
feature_1228,1
feature_43,1
feature_46,1
feature_1232,1
feature_1260,1
feature_1338,1
feature_1234,1
feature_191,1
feature_1374,1
feature_1373,1
feature_1369,1
feature_1257,1
feature_1240,1
feature_1361,1
feature_1252,1
feature_1282,1
feature_206,1
feature_228,1
feature_227,1
feature_5,1
feature_1292,1
feature_222,1
feature_955,0
feature_1298,0
feature_903,0
feature_1340,0
feature_971,0
feature_1339,0
feature_906,0
feature_1299,0
feature_1337,0
feature_1300,0
feature_970,0
feature_1336,0
feature_908,0
feature_1297,0
feature_1335,0
feature_969,0
feature_910,0
feature_911,0
feature_912,0
feature_1334,0
feature_968,0
feature_1333,0
feature_914,0
feature_915,0
feature_902,0
feature_1341,0
feature_901,0
feature_966,0
feature_883,0
feature_1354,0
feature_884,0
feature_1351,0
feature_885,0
feature_886,0
feature_974,0
feature_887,0
feature_1350,0
feature_889,0
feature_1349,0
feature_891,0
feature_1348,0
feature_1347,0
feature_893,0
feature_1346,0
feature_895,0
feature_1345,0
feature_1343,0
feature_898,0
feature_1342,0
feature_973,0
feature_1296,0
feature_899,0
feature_900,0
feature_967,0
feature_965,0
feature_1305,0
feature_942,0
feature_932,0
feature_933,0
feature_1316,0
feature_935,0
feature_1315,0
feature_957,0
feature_1313,0
feature_938,0
feature_939,0
feature_1312,0
feature_940,0
feature_1311,0
feature_943,0
feature_1330,0
feature_1310,0
feature_1308,0
feature_956,0
feature_946,0
feature_947,0
feature_948,0
feature_949,0
feature_950,0
feature_951,0
feature_1307,0
feature_953,0
feature_954,0
feature_1317,0
feature_931,0
feature_1318,0
feature_1304,0
feature_1329,0
feature_916,0
feature_1301,0
feature_917,0
feature_918,0
feature_1328,0
feature_963,0
feature_962,0
feature_961,0
feature_920,0
feature_921,0
feature_1324,0
feature_1323,0
feature_923,0
feature_881,0
feature_960,0
feature_925,0
feature_926,0
feature_927,0
feature_1321,0
feature_1303,0
