feature,importance
feature_239,122
feature_47,66
feature_431,57
feature_1847,29
feature_1751,16
feature_287,11
feature_286,7
feature_1262,7
feature_946,6
feature_932,6
feature_1504,6
feature_1532,6
feature_224,5
feature_1607,5
feature_1145,5
feature_626,5
feature_1274,5
feature_1328,5
feature_531,5
feature_1531,5
feature_1369,5
feature_1703,5
feature_517,5
feature_981,4
feature_486,4
feature_450,4
feature_1063,4
feature_46,4
feature_1468,4
feature_1558,4
feature_832,4
feature_285,4
feature_714,4
feature_737,4
feature_267,4
feature_649,4
feature_661,4
feature_1388,4
feature_710,4
feature_1297,4
feature_1750,4
feature_561,4
feature_544,4
feature_1747,4
feature_1334,3
feature_1251,3
feature_1276,3
feature_1284,3
feature_1305,3
feature_1220,3
feature_1394,3
feature_1411,3
feature_208,3
feature_1089,3
feature_1085,3
feature_422,3
feature_569,3
feature_583,3
feature_259,3
feature_254,3
feature_721,3
feature_238,3
feature_756,3
feature_226,3
feature_1438,3
feature_884,3
feature_203,3
feature_197,3
feature_919,3
feature_1000,3
feature_1430,3
feature_388,3
feature_1685,3
feature_1763,3
feature_1793,3
feature_1583,3
feature_1469,3
feature_1449,2
feature_930,2
feature_938,2
feature_1599,2
feature_917,2
feature_953,2
feature_196,2
feature_913,2
feature_909,2
feature_201,2
feature_890,2
feature_945,2
feature_991,2
feature_955,2
feature_1688,2
feature_1003,2
feature_1005,2
feature_1032,2
feature_387,2
feature_1038,2
feature_1053,2
feature_1072,2
feature_1076,2
feature_1550,2
feature_1088,2
feature_204,2
feature_859,2
feature_871,2
feature_1144,2
feature_1837,2
feature_509,2
feature_513,2
feature_1823,2
feature_1814,2
feature_595,2
feature_272,2
feature_1805,2
feature_633,2
feature_1799,2
feature_639,2
feature_666,2
feature_688,2
feature_698,2
feature_706,2
feature_722,2
feature_753,2
feature_1746,2
feature_762,2
feature_785,2
feature_804,2
feature_228,2
feature_225,2
feature_833,2
feature_214,2
feature_1108,2
feature_1684,2
feature_1450,2
feature_1423,2
feature_1397,2
feature_1466,2
feature_1294,2
feature_1179,2
feature_1194,2
feature_1404,2
feature_1500,2
feature_1158,2
feature_1420,2
feature_638,1
feature_684,1
feature_697,1
feature_690,1
feature_1421,1
feature_630,1
feature_1786,1
feature_675,1
feature_1407,1
feature_1417,1
feature_1402,1
feature_1787,1
feature_636,1
feature_1415,1
feature_1471,1
feature_1519,1
feature_1781,1
feature_610,1
feature_775,1
feature_764,1
feature_1374,1
feature_1375,1
feature_1380,1
feature_1748,1
feature_1749,1
feature_751,1
feature_749,1
feature_743,1
feature_1759,1
feature_736,1
feature_732,1
feature_1384,1
feature_1760,1
feature_717,1
feature_1473,1
feature_712,1
feature_1766,1
feature_709,1
feature_1393,1
feature_611,1
feature_1422,1
feature_605,1
feature_508,1
feature_497,1
feature_494,1
feature_487,1
feature_1833,1
feature_485,1
feature_480,1
feature_475,1
feature_469,1
feature_456,1
feature_452,1
feature_1835,1
feature_443,1
feature_435,1
feature_434,1
feature_1439,1
feature_430,1
feature_423,1
feature_1846,1
feature_391,1
feature_505,1
feature_511,1
feature_604,1
feature_1433,1
feature_596,1
feature_792,1
feature_592,1
feature_590,1
feature_587,1
feature_1808,1
feature_571,1
feature_1809,1
feature_1815,1
feature_1816,1
feature_567,1
feature_1819,1
feature_558,1
feature_550,1
feature_545,1
feature_1821,1
feature_528,1
feature_521,1
feature_1827,1
feature_1474,1
feature_1345,1
feature_803,1
feature_995,1
feature_1210,1
feature_1212,1
feature_1024,1
feature_1022,1
feature_1017,1
feature_1009,1
feature_1218,1
feature_1219,1
feature_1518,1
feature_992,1
feature_1355,1
feature_1225,1
feature_989,1
feature_986,1
feature_1588,1
feature_976,1
feature_969,1
feature_1227,1
feature_954,1
feature_1233,1
feature_1039,1
feature_1040,1
feature_1052,1
feature_1184,1
feature_1140,1
feature_1139,1
feature_1124,1
feature_1123,1
feature_1118,1
feature_1098,1
feature_1542,1
feature_1164,1
feature_1171,1
feature_1079,1
feature_1078,1
feature_1174,1
feature_1074,1
feature_1068,1
feature_1568,1
feature_1061,1
feature_1060,1
feature_1058,1
feature_1054,1
feature_949,1
feature_1593,1
feature_1234,1
feature_1692,1
feature_875,1
feature_1317,1
feature_864,1
feature_1320,1
feature_1479,1
feature_857,1
feature_850,1
feature_838,1
feature_836,1
feature_1475,1
feature_1699,1
feature_830,1
feature_828,1
feature_823,1
feature_1742,1
feature_1343,1
feature_1743,1
feature_806,1
feature_1156,1
feature_876,1
feature_883,1
feature_943,1
feature_1309,1
feature_1248,1
feature_934,1
feature_933,1
feature_1508,1
feature_931,1
feature_1507,1
feature_928,1
feature_925,1
feature_1674,1
feature_1269,1
feature_916,1
feature_1445,1
feature_1497,1
feature_1492,1
feature_892,1
feature_1285,1
feature_1487,1
feature_1484,1
feature_888,1
feature_1034,1
feature_924,1
feature_231,1
feature_202,1
feature_237,1
feature_242,1
feature_10,1
feature_261,1
feature_277,1
feature_244,1
feature_195,1
feature_13,1
feature_230,1
feature_229,1
feature_5,1
feature_262,1
feature_215,1
feature_143,1
feature_95,1
feature_250,1
feature_274,1
feature_275,1
feature_218,1
feature_247,1
feature_234,1
feature_3,1
feature_45,1
feature_1340,0
feature_1337,0
feature_1350,0
feature_1349,0
feature_1348,0
feature_1339,0
feature_1347,0
feature_1341,0
feature_1346,0
feature_98,0
feature_1338,0
feature_99,0
feature_1342,0
feature_1344,0
feature_324,0
feature_1351,0
feature_1361,0
feature_96,0
feature_1368,0
feature_1367,0
feature_1366,0
feature_1365,0
feature_1364,0
feature_1363,0
feature_1362,0
feature_1360,0
feature_1352,0
feature_1359,0
feature_1358,0
feature_1357,0
feature_1335,0
feature_1356,0
feature_97,0
feature_1354,0
feature_1353,0
feature_1336,0
feature_1329,0
feature_100,0
feature_1311,0
feature_104,0
feature_1308,0
feature_1307,0
feature_1306,0
feature_105,0
feature_1304,0
feature_1303,0
feature_1302,0
feature_1301,0
feature_1300,0
feature_1299,0
feature_1298,0
feature_106,0
feature_1296,0
feature_1295,0
feature_107,0
feature_1293,0
feature_1292,0
feature_1291,0
feature_1310,0
feature_1312,0
feature_1333,0
